3
juan rojo
miguel azul
maria verde
1.1 rojo 10
1.2 azul 1
1.3 verde 9
1.4 rojo 1
1.5 azul 10
1.6 rojo 2
1.7 verde 2
1.8 azul 2
1.9 verde 2
2.1 rojo 2
2.2 azul 2
2.3 verde 2
2.4 rojo 2
3.1 azul 2
3.2 verde 2
3.3 rojo 2
3.4 azul 2
3.5 verde 2
3.6 rojo 2
3.7 azul 2
4.1 verde 2
4.2 rojo 2
4.3 azul 2
4.4 verde 2
4.5 rojo 2
4.6 azul 2
5.1 azul 2
5.2 rojo 2
5.3 verde 2
5.4 azul 2
5.5 rojo 2
5.6 verde 2
5.7 azul 2
5.8 rojo 2
5.9 verde 2
5.10 azul 2
5.11 rojo 2
5.12 verde 2
6.1 azul 2
6.2 rojo 2
6.3 verde 2
6.4 verde 2
